标题                            	URL                                                         	分类名称	描述
----------------------------------------------------------------------------------------------------------------------------------------------
人民网	http://www.people.com.cn	中央重点新闻网站	人民网，是世界十大报纸之一《人民日报》建设的以新闻为主的大型网上信息发布平台，也是互联网上最大的中文和多语种新闻网站之一。作为国家重点新闻网站，人民网以新闻报道的权威性、及时性、多样性和评论性为特色，在网民中树立起了“权威媒体、大众网站”的形象。
新华网	http://www.news.cn	中央重点新闻网站	中国主要重点新闻网站,依托新华社遍布全球的采编网络,记者遍布世界100多个国家和地区,地方频道分布全国31个省市自治区,每天24小时同时使用6种语言滚动发稿,权威、准确、及时播发国内外重要新闻和重大突发事件,受众覆盖200多个国家和地区,发展论坛是全球知名的中文论坛。
央视网	http://www.cntv.cn	中央重点新闻网站	中央重点新闻网站，提供权威、全面的新闻资讯服务。
光明网	http://www.gmw.cn	中央重点新闻网站	光明网是光明日报在网络时代的新延伸，也是国内唯一一家定位于思想理论领域的中央重点新闻网站。光明网坚持“可读、可信、可用”的办网原则，以“新闻视野、文化视角、思想深度、理论高度”为理念，努力打造“知识分子网上精神家园，权威思想理论文化网站”。
中国经济网	http://www.ce.cn	中央重点新闻网站	中央重点新闻网站，提供权威、全面的新闻资讯服务。
中国日报网	http://cn.chinadaily.com.cn	中央重点新闻网站	中国日报网是中国最优质的新闻发布平台,热点实时新闻发布,提供国内新闻,国际快讯,评论,财经,体育,军事,图片,文化娱乐,时尚生活,视频及互动等综合新闻资讯!
国际在线	http://www.cri.cn	中央重点新闻网站	国际在线(www.cri.cn)是由中央广播电视总台主办的中央重点新闻网站,通过44种语言(不含广客闽潮4种方言)对全球进行传播,是中国使用语种最多、传播地域最广、影响人群最大的多应用、多终端网站集群。 国际在线依托中央广播电视总台广泛的资讯渠道和媒体资源,在全球拥有40多个驻外记者站,与许多国家的驻华机构建立了良好的合作关系,已发展成为拥有强大的信息采集网络、多形态传播渠道的国际化新媒体平...
中国广播网	http://www.cnr.cn	中央重点新闻网站	中央重点新闻网站，提供权威、全面的新闻资讯服务。
中国新闻网	http://www.chinanews.com	中央重点新闻网站	中国新闻网，是知名的中文新闻门户网站，也是全球互联网中文新闻资讯最重要的原创内容供应商之一。依托中新社遍布全球的采编网络,每天24小时面向广大网民和网络媒体，快速、准确地提供文字、图片、视频等多样化的资讯服务。在新闻报道方面，中新网动态新闻及时准确，解释性报道角度独特，稿件被国内外网络媒体大量转载。
